source CELEX or GDPR article;original regulation sentence;implict actor present;verb with missing actor;type of occurance;identified implict actor;actor enhanced sentence;Notes Lukas;Notes Kate;General notes;
32019R0517;With respect to point (b) of the first subparagraph, such domain names shall be limited to broadly recognised geographical or geopolitical terms which affect the Member States' political or territorial organisation.;y;limited;passive;the Registry;With respect to point (b) of the first subparagraph, such domain names shall be limited by the Registry to broadly recognised geographical or geopolitical terms which affect the Member States' political or territorial organisation.;;;;
32019R0517;The Commission shall adopt the lists notified by the Member States by means of implementing acts. Those implementing acts shall be adopted in accordance with the examination procedure referred to in Article 17(2).;n;;;;;;;;
32019R0517;The Registry shall accredit Registrars in accordance with reasonable, transparent and non-discriminatory accredita tion procedures which have been approved in advance by the Commission.;n;;;;;;;;
32019R0517;The Registry shall make the accreditation procedures publicly available in readily accessible form.;n;;;;;;;;
32019R0517;The Registry shall apply equivalent conditions in equivalent circumstances in relation to accredited .eu Registrars that provide equivalent services.;n;;;;;;;;
32019R0517;The Registry shall provide those Registrars with services and information under the same conditions, and of the same quality, as provided for its own equivalent services.;n;;;;;;;;
32019R0517;The Commission shall adopt delegated acts in accordance with Article 18 to supplement this Regulation by establishing the eligibility and selection criteria and the procedure for the designation of the Registry.;n;;;;;;;;
32019R0517;The Commission shall set out the principles to be included in the contract between the Commission and the Registry, by means of implementing acts.;n;;;;;;;;
32019R0517;Those implementing acts shall be adopted in accordance with the examination procedure referred to in Article 17(2).;y;adopted;passive;the Commission;Those implementing acts shall be adopted by the Commission in accordance with the examination procedure referred to in Article 17(2).;;;;
32019R0517;The Commission shall designate an entity as the Registry following the completion of the procedure referred to in paragraphs 1 and 2.;n;;;;;;;;
32019R0517;The Commission shall enter into a contract with the designated Registry.;n;;;;;;;;
32019R0517;The contract shall specify the rules, policies and procedures for the provision of services by the Registry and the conditions according to which the Commission is to supervise the organisation, administration and management of the .eu TLD by the Registry.;n;;;;;;;;
32019R0517;The contract shall be limited in time and shall be renewable once without the need to organise a new selection procedure.;i;limited;passive;;;;;;
32019R0517;The contract shall reflect the obligations of the Registry and shall include the principles and procedures on the functioning of the .eu TLD laid down on the basis of Articles 10 and 11.;i;laid;passive;;;;;;
32019R0517;By way of derogation from paragraphs 1, 2 and 3, the Commission may, where imperative grounds of urgency exist, designate the Registry by means of immediately applicable implementing acts in accordance with the procedure referred to in Article 17(3).;n;;;;;;;;
32019R0517;The Registry shall be a not-for-profit organisation.;n;;;;;;;;
32019R0517;It shall have its registered office, central administration and principal place of business within the territory of the Union.;n;;;;;;;;
32019R0517;The Registry may impose fees.;n;;;;;;;;
32019R0517;Those fees shall be directly related to the costs incurred.;n;;;;;;;relate -> blacklist;
32019R0517;"The Registry shall be required to promote the .eu TLD across the Union and in third countries;";i;required;passive;;;;;;
32019R0517;"The Registry shall be required to comply with the rules, policies and procedures laid down in this Regulation, with the contract referred to in Article 8(4), and, in particular, with Union data protection law;";i;required;passive;;;;;;
32019R0517;"The Registry shall be required to organise, administer and manage the .eu TLD in the general public interest and ensure in all aspects of the adminis tration and management of the .eu TLD, high quality, transparency, security, stability, predictability, reliability, accessibility, efficiency, non-discrimination, fair conditions of competition and consumer protection;";i;required;passive;;;;;;
32019R0517;"The Registry shall be required to enter into an appropriate contract providing for the delegation of the .eu TLD code, subject to the prior consent of the Commission;";i;required;passive;;;;;;
32019R0517;"The Registry shall be required to perform the registration of domain names in the .eu TLD where requested by any eligible party referred to in Article 3;";i;required;passive;;;;;;
32019R0517;"The Registry shall be required to ensure, without prejudice to any court proceedings, and subject to adequate procedural guarantees for the parties concerned, the possibility for Registrars and registrants to resolve any contractual dispute with the Registry by means of ADR;";i;required;passive;;;;;;
32019R0517;"The Registry shall be required to ensure the availability and integrity of the databases of domain names;";i;required;passive;;;;;;
32019R0517;"The Registry shall be required to at its own expense and with the consent of the Commission, enter into an agreement with a reputable trustee or other escrow agent established within the territory of the Union designating the Commission as the beneficiary of the escrow agreement, and submit an up-to-date electronic copy of the content of the .eu TLD database to the respective trustee or escrow agent on a daily basis;";i;required;passive;;;;;;
32019R0517;"The Registry shall be required to implement the lists referred to in Article 6(3);";i;required;passive;;;;;;
32019R0517;"The Registry shall be required to promote the objectives of the Union in the field of internet governance, inter alia by participating in international forums;";i;required;passive;;;;;;
32019R0517;"The Registry shall be required to publish the principles and procedures on the functioning of the .eu TLD laid down on the basis of Article 11 in all of the official languages of the Union institutions;";i;required;passive;;;;;;
32019R0517;"The Registry shall be required to at its own expense, undertake an audit by an independent body at least every two years to certify its compliance with this Regulation and send the outcome of such audits to the Commission;";i;required;passive;;;;;;
32019R0517;The Registry shall be required to participate, where requested by the Commission, in the work of the .eu Multistakeholder Advisory Group and cooperate with the Commission to improve the functioning and management of the .eu TLD.;i;required;passive;;;;;;
32019R0517;"The contract, concluded between the Commission and the designated Registry in accordance with Article 8(4) shall contain the principles and procedures concerning the functioning of the .eu TLD, in compliance with this Regulation, including an ADR policy;";i;concluded;passive;;;;;;
32019R0517;"The contract, concluded between the Commission and the designated Registry in accordance with Article 8(4) shall contain the principles and procedures concerning the functioning of the .eu TLD, in compliance with this Regulation, including requirements and procedures for registration requests, a policy on the verification of registration criteria, a policy on the verification of registrants' data, and a policy on the speculative registration of domain names;";i;concluded;passive;;;;;;
32019R0517;"The contract, concluded between the Commission and the designated Registry in accordance with Article 8(4) shall contain the principles and procedures concerning the functioning of the .eu TLD, in compliance with this Regulation, including a policy on abusive registration of domain names and a policy on the timely identification of domain names that have been registered and used in bad faith, referred to in Article 4;";i;concluded;passive;;;;;;
32019R0517;"The contract, concluded between the Commission and the designated Registry in accordance with Article 8(4) shall contain the principles and procedures concerning the functioning of the .eu TLD, in compliance with this Regulation, including a policy on the revocation of domain names;";i;concluded;passive;;;;;;
32019R0517;"The contract, concluded between the Commission and the designated Registry in accordance with Article 8(4) shall contain the principles and procedures concerning the functioning of the .eu TLD, in compliance with this Regulation, including the treatment of intellectual property rights;";i;concluded;passive;;;;;;
32019R0517;"The contract, concluded between the Commission and the designated Registry in accordance with Article 8(4) shall contain the principles and procedures concerning the functioning of the .eu TLD, in compliance with this Regulation, including measures to enable competent authorities to have access to data in the Registry for the purposes of prevention, detection, investigation and prosecution of crime, as provided by Union law or national law that complies with Union law, subject to appropriate checks and balances;";i;concluded;passive;;;;;;
32019R0517;The contract, concluded between the Commission and the designated Registry in accordance with Article 8(4) shall contain the principles and procedures concerning the functioning of the .eu TLD, in compliance with this Regulation, including detailed procedures by means of which to amend the contract.;i;concluded;passive;;;;;;
32019R0517;The Registry shall set up and manage, with due diligence, a WHOIS database facility for the purpose of ensuring the security, stability and resilience of the .eu TLD by providing accurate and up-to-date registration information about the domain names under the .eu TLD.;n;;;;;;;;
32019R0517;The WHOIS database shall contain relevant information about the points of contact administering the domain names under the .eu TLD and the holders of the domain names.;n;;;;;;;;
32019R0517;The information on the WHOIS database shall not be excessive in relation to the purpose of the database.;n;;;;;;;;
32019R0517;The Registry shall comply with Regulation (EU) 2016/679 of the European Parliament and of the Council (9).;n;;;;;;;;
32019R0517;The Commission shall monitor and supervise the organisation, administration and management of the .eu TLD by the Registry.;n;;;;;;;;
32019R0517;The Commission shall ascertain the soundness of financial management of the Registry and its compliance with this Regulation and with the principles and procedures on the functioning of the .eu TLD as referred to in Article 11.;n;;;;;;;;
32019R0517;The Commission may request information from the Registry to that end.;n;;;;;;;;
32019R0517;In accordance with its supervisory activities, the Commission may convey specific instructions to the Registry for correcting or improving the organisation, administration and management of the .eu TLD.;n;;;;;;;;
32019R0517;The Commission may, as appropriate, consult the .eu Multistakeholder Advisory Group and other relevant stakeholders and may seek expert advice on the results of the supervisory activities provided for in this Article and on ways to improve the organisation, administration and management of the .eu TLD by the Registry;n;;;;;;;;
32019R0517;The Commission shall establish a .eu Multistakeholder Advisory Group.;n;;;;;;;;
32019R0517;"The .eu Multistakeholder Advisory Group shall have to advise the Commission on the implementation of this Regulation;";n;;;;;;;;
32019R0517;"The .eu Multistakeholder Advisory Group shall have to issue opinions to the Commission on strategic matters relating to the management, organisation and adminis tration of the .eu TLD, including issues relating to cybersecurity and data protection;";n;;;;;;;;
32019R0517;"The .eu Multistakeholder Advisory Group shall have to advise the Commission on matters relating to the monitoring and supervision of the Registry, in particular with regard to the audit referred to in point (l) of Article 10;";n;;;;;;;;
32019R0517;The .eu Multistakeholder Advisory Group shall have to advise the Commission on best practices as regards policies and measures against abusive registrations of domain names, in particular registrations without rights or legitimate interests and registrations used in bad faith.;n;;;;;;;;
32019R0517;The Commission shall take account of any advice provided by the .eu Multistakeholder Advisory Group in implementing this Regulation.;n;;;;;;;;
32019R0517;The .eu Multistakeholder Advisory Group shall be composed of representatives of stakeholders that are established in the Union. ;i;established;passive;;;;;;
32019R0517;Those representatives shall be drawn from the private sector, the technical community, civil society and academia, as well as Member States' authorities and international organisations.;y;drawn;passive;the Commission;Those representatives shall be drawn by the Commission from the private sector, the technical community, civil society and academia, as well as Member States' authorities and international organisations.;;;;
32019R0517;Representatives other than those drawn from Member States' authorities and international organisations shall be appointed by the Commission on the basis of an open, non-discriminatory and transparent procedure, taking the utmost account the principle of gender equality.;n;;;;;;;;
32019R0517;Notwithstanding paragraph 3, the .eu Multistakeholder Advisory Group may include one representative of stakeholders established outside the Union.;n;;;;;;;;
32019R0517;The .eu Multistakeholder Advisory Group shall be chaired by a representative of the Commission or by a person appointed by the Commission.;n;;;;;;;;
32019R0517;The Commission shall provide secretarial services to the .eu Multistakeholder Advisory Group.;n;;;;;;;;
32019R0517;The Union shall retain all rights relating to the .eu TLD including, in particular, any intellectual property rights or other rights to the Registry databases that are required to ensure the implementation of this Regulation, as well as the right to re-designate the Registry.;n;;;;;;;;
32019R0517;By 13 October 2027 and every three years thereafter, the Commission shall assess the implementation, effectiveness and functioning of the .eu TLD, based in particular on the information submitted by the Registry pursuant to point (l) of Article 10.;n;;;;;;;;
32019R0517;By 30 June 2020, the Commission shall assess, taking into account current practice, whether and how the Registry is to cooperate with the EUIPO and other Union agencies with a view to combating speculative and abusive registrations of domain names, and whether and how simple administrative procedures are to be provided for, in particular with regard to SMEs.;n;;;;;;;;
32019R0517;The Commission may propose further measures in that regard, if necessary.;n;;;;;;;;
32019R0517;By 13 October 2024, the Commission shall assess the possibility of extending the criteria set out in Article 9 and may, if appropriate, submit a legislative proposal.;n;;;;;;;;
32019R0517;The Commission shall submit a report to the European Parliament and the Council on the findings of the assessment referred to in paragraphs 1 and 2.;n;;;;;;;;
32019R0517;The Commission shall be assisted by the Communications committee (COCOM) established by Directive (EU) 2018/1972 of the European Parliament and of the Council (10).;n;;;;;;;;
32019R0517;That committee shall be a committee within the meaning of Regulation (EU) No 182/2011.;n;;;;;;;;
32019R0517;Where reference is made to this paragraph, Article 5 of Regulation (EU) No 182/2011 shall apply.;i;made;passive;;;;;;
32019R0517;Where reference is made to this paragraph, Article 8 of Regulation (EU) No 182/2011, in conjunction with Article 5 thereof, shall apply.;i;made;passive;;;;;;
32019R0517;The power to adopt delegated acts is conferred on the Commission subject to the conditions laid down in this Article.;y;conferred;passive;the European Parliament;The power to adopt delegated acts is conferred by the European Parliament on the Commission subject to the conditions laid down in this Article.;;;könnte auch Council sein;
32019R0517;The power to adopt delegated acts referred to in Article 8(1) shall be conferred on the Commission for a period of five years from 18 April 2019.;y;conferred;passive;the European Parliament;The power to adopt delegated acts referred to in Article 8(1) shall be conferred by the European Parliament on the Commission for a period of five years from 18 April 2019.;;;könnte auch Council sein;
32019R0517;The Commission shall draw up a report in respect of the delegation of power not later than nine months before the end of the five-year period.;n;;;;;;;;
32019R0517;The delegation of power shall be tacitly extended for periods of an identical duration, unless the European Parliament or the Council opposes such extension not later than three months before the end of each period.;y;extended;passive;the Commission;The delegation of power shall be tacitly extended by the Commission for periods of an identical duration, unless the European Parliament or the Council opposes such extension not later than three months before the end of each period.;;;;
32019R0517;The delegation of power referred to in Article 8(1) may be revoked at any time by the European Parliament or by the Council. ;n;;;;;;;;
32019R0517;A decision to revoke shall put an end to the delegation of the power specified in that decision.;y;decision to revoke;action_noun;the European Parliament;A decision to revoke by the European Parliament shall put an end to the delegation of the power specified in that decision.;;;könnte auch Council sein;
32019R0517;It shall take effect the day following the publication of the decision in the Official Journal of the European Union or at a later date specified therein.;a;;;;;;;;
32019R0517;It shall not affect the validity of any delegated acts already in force.;a;;;;;;;;
32019R0517;Before adopting a delegated act, the Commission shall consult experts designated by each Member State in accordance with the principles laid down in the Interinstitutional Agreement of 13 April 2016 on Better Law-Making.;n;;;;;;;;
32019R0517;As soon as it adopts a delegated act, the Commission shall notify it simultaneously to the European Parliament and to the Council.;n;;;;;;;;
32019R0517;A delegated act adopted pursuant to Article 8(1) shall enter into force only if no objection has been expressed either by the European Parliament or the Council within a period of two months of notification of that act to the European Parliament and the Council or if, before the expiry of that period, the European Parliament and the Council have both informed the Commission that they will not object.;n;;;;;;;;
32019R0517;That period shall be extended by two months at the initiative of the European Parliament or of the Council.;n;;;;;;;semantisch ist actor schon drin, aber nach unseren patterns wird es wahrscheinlich erkannt;
32019R0517;Domain name holders that have domain names that were registered pursuant to point (b) of Article 4(2) of Regulation (EC) No 733/2002 shall retain their rights in relation to the existing registered domain names.;n;;;;;;;;
32019R0517;By 12 October 2021, the Commission shall take the necessary measures to designate an entity as the Registry and to enter into a contract with the Registry pursuant this Regulation.;n;;;;;;;;
32019R0517;The contract shall be effective from 13 October 2022.;n;;;;;;;;
32019R0517;The contract concluded between the Commission and the Registry pursuant to point (c) of Article 3(1) of Regulation (EC) No 733/2002 shall continue to be effective until 12 October 2022.;i;concluded;passive;;;;;;
32021R0444;The general objective of the Programme is to support the customs union and customs authorities working together and acting as one to protect the financial and economic interests of the Union and its Member States, to ensure security and safety within the Union and to protect the Union from unfair and illegal trade, while facilitating legitimate business activity.;i;facilitating;gerund;;;;;;
32021R0444;"The specific objectives of the Programme are to support the preparation and uniform implementation of customs legislation and policy;";i;implementation;action_noun;;;;;;
32021R0444;"The specific objectives of the Programme are to support the preparation and uniform implementation of customs legislation and policy;";i;support;infinitive;;;;;;
32021R0444;"The specific objectives of the Programme are to support customs cooperation;";i;support;infinitive;;;;;;
32021R0444;"The specific objectives of the Programme are to support administrative and IT capacity building, including human competency and training, as well as the development and operation of European electronic systems;";i;support;infinitive;;;;;;
32021R0444;"The specific objectives of the Programme are to support administrative and IT capacity building, including human competency and training, as well as the development and operation of European electronic systems;";i;including;gerund;;;;;;
32021R0444;The specific objectives of the Programme are to support nnovation in the area of customs policy.;i;support;infinitive;;;;;;
32021R0444;The financial envelope for the implementation of the Programme for the period 2021–2027 shall be EUR 950 000 000 in current prices.;i;implementation;action_noun;;;;;;
32021R0444;The amount referred to in paragraph 1 may also cover expenses for preparation, monitoring, control, audit, evaluation and other activities for managing the Programme and evaluating the achievement of its objectives.;n;;;;;;;referred black listed;
32021R0444;It may also cover expenses linked to studies, meetings of experts, information and communication actions that are related to the objectives of the Programme, as well as expenses linked to information technology networks focusing on information processing and exchange, including corporate information technology tools and other technical and administrative assistance needed in connection with the management of the Programme.;i;linked;passive;;;;;;
32021R0444;It may also cover expenses linked to studies, meetings of experts, information and communication actions that are related to the objectives of the Programme, as well as expenses linked to information technology networks focusing on information processing and exchange, including corporate information technology tools and other technical and administrative assistance needed in connection with the management of the Programme.;i;processing;action_noun;;;;;;
32021R0444;It may also cover expenses linked to studies, meetings of experts, information and communication actions that are related to the objectives of the Programme, as well as expenses linked to information technology networks focusing on information processing and exchange, including corporate information technology tools and other technical and administrative assistance needed in connection with the management of the Programme.;i;including;gerund;;;;;;
32021R0444;"The Programme shall be open to the participation of acceding countries, candidate countries and potential candidates, in accordance with the general principles and general terms and conditions for the participation of those countries in Union programmes established in the respective framework agreements and Association Council decisions, or in similar agreements and in accordance with the specific conditions laid down in agreements between the Union and those countries;";i;acceding;gerund;;;;;;
32021R0444;"The Programme shall be open to the participation of European Neighbourhood Policy countries, in accordance with the general principles and general terms and conditions for the participation of those countries in Union programmes established in the respective framework agreements and Association Council decisions or in similar agreements and in accordance with the specific conditions laid down in agreements between the Union and those countries;";i;laid;passive;;;;;;
32021R0444;"The Programme shall be open to the participation of other third countries, in accordance with the conditions laid down in a specific agreement covering the participation of the third country to any Union programme, provided that the agreement ensures a fair balance as regards the contributions and benefits of the third country participating in the Union programmes;";i;laid;passive;;;;;;
32021R0444;"The Programme shall be open to the participation of other third countries, in accordance with the conditions laid down in a specific agreement covering the participation of the third country to any Union programme, provided that the agreement lays down the conditions of participation in the programmes, including the calculation of financial contributions to individual programmes, and their administrative costs;";i;laid;passive;;;;;;
32021R0444;"The Programme shall be open to the participation of other third countries, in accordance with the conditions laid down in a specific agreement covering the participation of the third country to any Union programme, provided that the agreement does not confer on the third country any decision-making power in respect of the Union programme;";i;laid;passive;;;;;;
32021R0444;The Programme shall be open to the participation of other third countries, in accordance with the conditions laid down in a specific agreement covering the participation of the third country to any Union programme, provided that the agreement guarantees the rights of the Union to ensure sound financial management and to protect its financial interests.;i;laid;passive;;;;;;
32021R0444;The contributions referred to in point (c)(ii) of the first paragraph shall constitute assigned revenues in accordance with Article 21(5) of the Financial Regulation.;n;;;;;;;;
32021R0444;The Programme shall be implemented under direct management in accordance with the Financial Regulation.;y;implemented;passive;the Commission;The Programme shall be implemented by the Commission under direct management in accordance with the Financial Regulation.;;;;
32021R0444;The Programme may provide funding in any of the forms laid down in the Financial Regulation, in particular by means of grants, prizes, procurement and the reimbursement of travel and subsistence expenses incurred by external experts.;i;laid;passive;;;;;;
32021R0444;Only actions implementing the objectives set out in Article 3 shall be eligible for funding.;n;;;;;;;;
32021R0444;Actions complementing or supporting the actions implementing the objectives set out in the Customs Control Equipment Instrument Regulation shall also be eligible for funding under the Programme.;n;;;;;;;;
32021R0444;"The actions referred to in paragraphs 1 and 2 shall include meetings and similar ad hoc events;";n;;;;;;;;
32021R0444;"The actions referred to in paragraphs 1 and 2 shall include project-based structured collaboration, such as collaborative IT development by a group of Member States;";n;;;;;;;;
32021R0444;"The actions referred to in paragraphs 1 and 2 shall include IT capacity-building actions, in particular the development and operation of European electronic systems;";n;;;;;;;;
32021R0444;"The actions referred to in paragraphs 1 and 2 shall include human-competency and other capacity-building actions, including training and exchange of best practices;";n;;;;;;;;
32021R0444;"The actions referred to in paragraphs 1 and 2 shall include support actions and other actions, including: studies;";n;;;;;;;;
